dataset,rows,columns,header,sha256
access_cache.csv,1,3,user|cached_until|revoked_at,040bc0ed990082a4f20150c124122acace92f16586cc9a90f3e944a8758c5d64
access_logs.csv,2,5,event_id|user|system|time|action,c2ca4effe80cc8b2e23fbda2d405b350d573c1cba5f5e0b6c24b5d9efb0062d6
adverse_events.csv,2,4,case_id|verbatim|meddra_version|pt,073cd1466490294e3b31118bdb04336c2c1d144ad323b3fc2fda0c8adf2757f3
agent_runs.csv,1,6,run_id|workflow|checkpoint|state_age_minutes|draft_reservations|resume_result,0454a4cdae6520a24607acc18ba4c05680f7ba6069f35bea7707553241e51924
ai_use_boundaries.csv,3,3,use_case|allowed|prohibited,b6bc768cf67c65230eda96b0901f74f918df335ab29d24e6ecb1ad8f1cf44772
allocation_constraints.csv,4,2,constraint|priority,f614c1a575361b4231a162b53ab084e5a3da9d7d894525491719f3b1d76ccd6a
api_contract_versions.csv,3,5,api|version|unit_field|status_field|date_semantics,a4e6f83b55fe5dae841d307c2a194e75c8c9a8f3ae5ca9ee1418a90e85df0560
assay_results.csv,2,7,assay_id|compound_code|result|unit|reagent_lot|instrument|date,4b26f5360b336cc39be2763d8ab28821362500180553fe36cb69638fcbb3bbc7
audit_findings.csv,2,4,finding_id|area|finding|status,fcfeb0e5def06dee360038b7bc5101d209b72987fdf37d5c31fa2d3846defefb
audit_trails.csv,1,5,system|event|start|end|user,9621aaa5a9daaa965ed410d2a47643e3107e1a8b00c1c95729fd6a61c087f8cc
authority_correspondence.csv,1,6,document|local_path|commitment_id|text_due_date|tracker_due_date|receipt_time,d0960ae910ac7c5d6996882cce7792a983fc6b67b4b43f17c5d8d974bd806818
backup_inventory.csv,1,5,system|primary|backup|encryption|approval,c589ebcb026e4398ce9b77cdca2a639136644e231ebf02ffeb920902aff7b6f9
batches.csv,2,5,batch_id|product_id|site|status|manufacture_date,4581b8267ce7a7e288c4987dcf447df023067a6c6f161319f1e7bfa79696a869
board_requests.csv,1,5,request_id|metric|target|constraint|due_date,0207ce5dc9eaeeb3852f87488c2b78b283aac61962bbc10cb17fab85daa8dca3
candidate_outputs.csv,1,5,output_id|workflow|summary|omitted_fact|status,b3f02b72af0a273c42a60c33e7e3f72b4da1720958b0a54b97359acc6ca1d4de
capa_records.csv,1,4,capa_id|action|effectiveness_check|result,aef660092da9188dcb2adb737bfc8d9d9cf24f02f9bccb634eb00853dfef8ec3
certificates_analysis.csv,1,5,coa_id|material_lot|source|signature|value,546df402e4e235858503a98db0182d64fd927787f064d25ad10458b79380f655
change_controls.csv,1,5,change_id|system|change|type|retrospective_approval,2a8f75fad19780c934818239cff711b038f58cb494e6b16471a874b6a6704afa
cleaning_validation.csv,1,5,equipment|previous_product|next_product|validation_scope|status,379501cc3b21961ba7835332e08ea3e8a23e9cc7f58389a18706d0b99c0e8d75
clinical_trials.csv,2,5,trial_id|phase|indication|status|countries,a52c6e5682625442f62fe1a2d8c9094d02459f67bdacae99b98ef7a1177e8dfd
cmo_capacity.csv,1,5,cmo|window|capacity_batches|promised_NTG|promised_other_sponsor,2a379bcb70cc98524638e9841be1bba8e79edd5d372cca0f541d8d29962cc9c4
commercial_forecast.csv,2,4,product_id|market|annual_units|forecast_confidence,fdfc97e94b01115c8c3af0982a21feb59621521c5cfd409db59717c12f294216
commercial_use_requests.csv,1,4,request_id|dataset|proposed_use|status,cf94e17c10008b1b4f70ba88141f0f1b5e41973343a3cc13288c1c7642e71bc3
compounds.csv,2,4,compound_code|source_org|structure_hash|salt_form,45c62519ccf3dbcd53bf1ab42cbff6a65e1481f545aae2dea7ca4d1a13f566d0
consents.csv,2,5,consent_id|subject_id|purpose|status|effective_time,4da9410b65a03595bfec6dc0825dcc518457046a4d882627348eeea244482846
continuity_requirements.csv,3,4,workflow|max_ai_outage_days|manual_runbook|max_ai_outage_hours,6b8bc4beedbacfa043772840857f6b6f5d26b36876dcac7a9bd4c35b7307c896
controlled_vocabularies.csv,2,4,domain|code|term|version,72f4e533bfb4b1dc70725e229b19d90a12cb67761dabfbb2c934c710c196fb6a
cost_model.csv,4,2,cost_type|monthly_usd,c117382cbb28514fce792fe3ad19f24bf39404f7a8d8ae8714a63641056bd0b5
